ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
15,0.000,0.000,0.000,0.000,_parser.py:176(append)
6,0.000,0.000,0.000,0.000,threading.py:302(__exit__)
5,0.000,0.000,0.000,0.000,_compiler.py:398(_simple)
2,0.000,0.000,0.000,0.000,_parser.py:274(getuntil)
7,0.000,0.000,0.000,0.000,threading.py:314(_is_owned)
1,0.000,0.000,0.000,0.000,{built-in method _abc._abc_register}
1,0.000,0.000,0.000,0.000,std.py:438(status_printer)
1,0.000,0.000,0.000,0.000,weakref.py:164(__setitem__)
1,0.000,0.000,0.000,0.000,_weakrefset.py:110(remove)
7,0.000,0.000,0.000,0.000,threading.py:299(__enter__)
1,0.000,0.000,0.000,0.000,socket.py:215(socket)
36,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:412(__init__)
10,0.000,0.000,0.000,0.000,std.py:1157(__hash__)
1,0.000,0.000,0.000,0.000,subprocess.py:470(CompletedProcess)
1,0.000,0.000,0.000,0.000,process.py:399(__init__)
2,0.000,0.000,0.000,0.000,std.py:1286(fp_write)
46,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:158(__init__)
2,0.000,0.000,0.000,0.000,_parser.py:86(opengroup)
1,0.000,0.000,0.000,0.000,threading.py:394(notify)
21,0.000,0.000,0.000,0.000,{built-in method _imp._fix_co_filename}
1,0.000,0.000,0.000,0.000,synchronize.py:46(SemLock)
1,0.000,0.000,0.000,0.000,tempfile.py:999(TemporaryDirectory)
14,0.000,0.000,0.000,0.000,{built-in method builtins.issubclass}
23,0.000,0.000,0.000,0.000,{method 'items' of 'dict' objects}
85,0.000,0.000,0.000,0.000,_compat_pickle.py:167(<genexpr>)
2,0.000,0.000,0.000,0.000,threading.py:277(__init__)
1,0.000,0.000,0.000,0.000,bz2.py:26(BZ2File)
1,0.000,0.000,0.000,0.000,threading.py:1043(_set_tstate_lock)
2,0.000,0.000,0.000,0.000,functools.py:479(lru_cache)
52,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:71(_relax_case)
6,0.000,0.000,0.000,0.000,{built-in method fromkeys}
18,0.000,0.000,0.000,0.000,_weakrefset.py:17(__init__)
64,0.000,0.000,0.000,0.000,wikicode.py:95(<lambda>)
21,0.000,0.000,0.000,0.000,enum.py:93(_is_single_bit)
1,0.000,0.000,0.000,0.000,lzma.py:38(LZMAFile)
3,0.000,0.000,0.000,0.000,_parser.py:231(__init__)
1,0.000,0.000,0.000,0.000,functools.py:393(__get__)
9,0.000,0.000,0.000,0.000,{method 'setter' of 'property' objects}
6,0.000,0.000,0.000,0.000,signal.py:51(decorator)
7,0.000,0.000,0.000,0.000,enum.py:828(__members__)
3,0.000,0.000,0.000,0.000,_compiler.py:436(_get_literal_prefix)
1,0.000,0.000,0.000,0.000,synchronize.py:370(Barrier)
9,0.000,0.000,0.000,0.000,{built-in method sys.intern}
43,0.000,0.000,0.000,0.000,_compat_pickle.py:165(<genexpr>)
6,0.000,0.000,0.000,0.000,threading.py:308(_release_save)
1,0.000,0.000,0.000,0.000,utils.py:266(_supports_unicode)
1,0.000,0.000,0.000,0.000,<frozen posixpath>:60(isabs)
1,0.000,0.000,0.000,0.000,weakref.py:289(update)
1,0.000,0.000,0.000,0.000,selectors.py:80(BaseSelector)
1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:164(_path_isdir)
1,0.000,0.000,0.000,0.000,subprocess.py:126(CalledProcessError)
2,0.000,0.000,0.000,0.000,utils.py:187(disable_on_exception)
6,0.000,0.000,0.000,0.000,enum.py:1129(__new__)
1,0.000,0.000,0.000,0.000,reduction.py:33(ForkingPickler)
35,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:653(has_location)
11,0.000,0.000,0.000,0.000,{method 'isidentifier' of 'str' objects}
3,0.000,0.000,0.000,0.000,{built-in method _sre.compile}
10,0.000,0.000,0.000,0.000,_parser.py:83(groups)
1,0.000,0.000,0.000,0.000,<frozen posixpath>:408(normpath)
1,0.000,0.000,0.000,0.000,utils.py:156(__init__)
1,0.000,0.000,0.000,0.000,threading.py:1249(daemon)
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1153(__init__)
23,0.000,0.000,0.000,0.000,enum.py:820(<genexpr>)
11,0.000,0.000,0.000,0.000,{built-in method builtins.id}
1,0.000,0.000,0.000,0.000,utils.py:125(__eq__)
1,0.000,0.000,0.000,0.000,socket.py:664(SocketIO)
1,0.000,0.000,0.000,0.000,synchronize.py:217(Condition)
5,0.000,0.000,0.000,0.000,{method 'remove' of 'collections.deque' objects}
1,0.000,0.000,0.000,0.000,_compression.py:33(DecompressReader)
7,0.000,0.000,0.000,0.000,enum.py:1692(_simple_enum)
6,0.000,0.000,0.000,0.000,_compiler.py:570(isstring)
3,0.000,0.000,0.000,0.000,{method 'split' of 'str' objects}
3,0.000,0.000,0.000,0.000,utils.py:152(wrapper_setattr)
7,0.000,0.000,0.000,0.000,{method '__enter__' of '_thread.lock' objects}
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1178(get_filename)
1,0.000,0.000,0.000,0.000,subprocess.py:163(TimeoutExpired)
11,0.000,0.000,0.000,0.000,_parser.py:113(__init__)
1,0.000,0.000,0.000,0.000,{method 'close' of 'select.epoll' objects}
7,0.000,0.000,0.000,0.000,{method 'items' of 'mappingproxy' objects}
7,0.000,0.000,0.000,0.000,{method 'release' of '_thread.lock' objects}
1,0.000,0.000,0.000,0.000,tempfile.py:271(_RandomNameSequence)
1,0.000,0.000,0.000,0.000,{built-in method math.ceil}
9,0.000,0.000,0.000,0.000,__init__.py:429(<genexpr>)
1,0.000,0.000,0.000,0.000,tempfile.py:571(_TemporaryFileCloser)
1,0.000,0.000,0.000,0.000,util.py:185(Finalize)
21,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:986(create_module)
1,0.000,0.000,0.000,0.000,{built-in method posix.getpid}
1,0.000,0.000,0.000,0.000,{built-in method fromtimestamp}
8,0.000,0.000,0.000,0.000,{method 'random' of '_random.Random' objects}
3,0.000,0.000,0.000,0.000,_parser.py:953(fix_flags)
1,0.000,0.000,0.000,0.000,process.py:364(_ParentProcess)
1,0.000,0.000,0.000,0.000,_compiler.py:407(_generate_overlap_table)
2,0.000,0.000,0.000,0.000,functools.py:65(wraps)
2,0.000,0.000,0.000,0.000,_parser.py:304(checkgroupname)
2,0.000,0.000,0.000,0.000,std.py:1153(_comparable)
2,0.000,0.000,0.000,0.000,enum.py:816(__iter__)
1,0.000,0.000,0.000,0.000,synchronize.py:328(Event)
9,0.000,0.000,0.000,0.000,{method '__contains__' of 'frozenset' objects}
1,0.000,0.000,0.000,0.000,context.py:220(Process)
1,0.000,0.000,0.000,0.000,utils.py:252(_is_utf)
2,0.000,0.000,0.000,0.000,utils.py:139(__getattr__)
2,0.000,0.000,0.000,0.000,utils.py:222(__eq__)
6,0.000,0.000,0.000,0.000,{method '__exit__' of '_thread.lock' objects}
1,0.000,0.000,0.000,0.000,weakref.py:347(__new__)
1,0.000,0.000,0.000,0.000,{built-in method posix.urandom}
1,0.000,0.000,0.000,0.000,threading.py:1036(_set_ident)
10,0.000,0.000,0.000,0.000,threading.py:601(is_set)
1,0.000,0.000,0.000,0.000,selectors.py:341(_PollLikeSelector)
8,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1573(<genexpr>)
1,0.000,0.000,0.000,0.000,reduction.py:251(AbstractReducer)
6,0.000,0.000,0.000,0.000,{method 'append' of 'collections.deque' objects}
14,0.000,0.000,0.000,0.000,attribute.py:100(value)
1,0.000,0.000,0.000,0.000,{built-in method posix.sysconf}
1,0.000,0.000,0.000,0.000,tempfile.py:614(_TemporaryFileWrapper)
3,0.000,0.000,0.000,0.000,{method 'translate' of 'bytearray' objects}
6,0.000,0.000,0.000,0.000,signal.py:50(_wraps)
1,0.000,0.000,0.000,0.000,selectors.py:206(_BaseSelectorImpl)
1,0.000,0.000,0.000,0.000,context.py:277(ForkProcess)
1,0.000,0.000,0.000,0.000,threading.py:837(_newname)
5,0.000,0.000,0.000,0.000,_parser.py:172(__setitem__)
2,0.000,0.000,0.000,0.000,_compiler.py:467(_get_charset_prefix)
5,0.000,0.000,0.000,0.000,<frozen _collections_abc>:341(__subclasshook__)
1,0.000,0.000,0.000,0.000,selectors.py:290(SelectSelector)
1,0.000,0.000,0.000,0.000,weakref.py:352(__init__)
8,0.000,0.000,0.000,0.000,{built-in method math.floor}
2,0.000,0.000,0.000,0.000,threading.py:1234(daemon)
1,0.000,0.000,0.000,0.000,threading.py:1483(current_thread)
1,0.000,0.000,0.000,0.000,context.py:237(get_context)
1,0.000,0.000,0.000,0.000,pickle.py:194(_Framer)
1,0.000,0.000,0.000,0.000,<frozen posixpath>:41(_get_sep)
1,0.000,0.000,0.000,0.000,_compression.py:9(BaseStream)
1,0.000,0.000,0.000,0.000,{built-in method math.log}
1,0.000,0.000,0.000,0.000,threading.py:1354(_make_invoke_excepthook)
5,0.000,0.000,0.000,0.000,reduction.py:43(register)
1,0.000,0.000,0.000,0.000,util.py:371(ForkAwareThreadLock)
1,0.000,0.000,0.000,0.000,selectors.py:442(EpollSelector)
1,0.000,0.000,0.000,0.000,synchronize.py:90(_make_methods)
1,0.000,0.000,0.000,0.000,threading.py:1040(_set_native_id)
10,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:1014(is_package)
1,0.000,0.000,0.000,0.000,context.py:284(SpawnProcess)
3,0.000,0.000,0.000,0.000,tag.py:262(closing_wiki_markup)
1,0.000,0.000,0.000,0.000,context.py:230(DefaultContext)
1,0.000,0.000,0.000,0.000,context.py:203(reducer)
1,0.000,0.000,0.000,0.000,selectors.py:60(_SelectorMapping)
2,0.000,0.000,0.000,0.000,{built-in method sys._getframemodulename}
2,0.000,0.000,0.000,0.000,{built-in method atexit.register}
3,0.000,0.000,0.000,0.000,_parser.py:77(__init__)
1,0.000,0.000,0.000,0.000,synchronize.py:130(Semaphore)
1,0.000,0.000,0.000,0.000,{method 'cursor' of 'sqlite3.Connection' objects}
4,0.000,0.000,0.000,0.000,attribute.py:105(quotes)
1,0.000,0.000,0.000,0.000,{built-in method posix._path_normpath}
2,0.000,0.000,0.000,0.000,data_extractor.py:11(make_section_header_string)
1,0.000,0.000,0.000,0.000,selectors.py:433(PollSelector)
3,0.000,0.000,0.000,0.000,std.py:226(__init__)
2,0.000,0.000,0.000,0.000,_compiler.py:31(_combine_flags)
1,0.000,0.000,0.000,0.000,{built-in method posix.confstr}
5,0.000,0.000,0.000,0.000,{built-in method builtins.globals}
1,0.000,0.000,0.000,0.000,pickle.py:257(_Unframer)
1,0.000,0.000,0.000,0.000,{built-in method _thread._set_sentinel}
5,0.000,0.000,0.000,0.000,_compiler.py:428(_get_iscased)
2,0.000,0.000,0.000,0.000,{built-in method _weakref.proxy}
4,0.000,0.000,0.000,0.000,<frozen abc>:7(abstractmethod)
1,0.000,0.000,0.000,0.000,std.py:1147(__del__)
1,0.000,0.000,0.000,0.000,context.py:296(ForkServerProcess)
1,0.000,0.000,0.000,0.000,process.py:397(_MainProcess)
4,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1276(__init__)
1,0.000,0.000,0.000,0.000,util.py:388(ForkAwareLocal)
1,0.000,0.000,0.000,0.000,context.py:197(get_start_method)
1,0.000,0.000,0.000,0.000,shutil.py:70(SameFileError)
1,0.000,0.000,0.000,0.000,synchronize.py:191(RLock)
1,0.000,0.000,0.000,0.000,synchronize.py:166(Lock)
1,0.000,0.000,0.000,0.000,synchronize.py:149(BoundedSemaphore)
1,0.000,0.000,0.000,0.000,{method 'encode' of 'str' objects}
1,0.000,0.000,0.000,0.000,context.py:233(__init__)
1,0.000,0.000,0.000,0.000,process.py:349(AuthenticationString)
1,0.000,0.000,0.000,0.000,subprocess.py:123(SubprocessError)
1,0.000,0.000,0.000,0.000,util.py:108(_platform_supports_abstract_sockets)
1,0.000,0.000,0.000,0.000,util.py:48(debug)
1,0.000,0.000,0.000,0.000,{method 'difference' of 'set' objects}
1,0.000,0.000,0.000,0.000,socket.py:212(_GiveupOnSendfile)
1,0.000,0.000,0.000,0.000,shutil.py:87(_GiveupOnFastCopy)
1,0.000,0.000,0.000,0.000,process.py:37(current_process)
1,0.000,0.000,0.000,0.000,reduction.py:211(_C)
1,0.000,0.000,0.000,0.000,utils.py:282(_screen_shape_wrapper)
1,0.000,0.000,0.000,0.000,shutil.py:67(Error)
1,0.000,0.000,0.000,0.000,pickle.py:73(PickleError)
1,0.000,0.000,0.000,0.000,context.py:311(ForkServerContext)
1,0.000,0.000,0.000,0.000,context.py:307(SpawnContext)
1,0.000,0.000,0.000,0.000,{built-in method _thread.get_native_id}
1,0.000,0.000,0.000,0.000,pickle.py:97(_Stop)
1,0.000,0.000,0.000,0.000,{method 'lower' of 'str' objects}
1,0.000,0.000,0.000,0.000,shutil.py:73(SpecialFileError)
1,0.000,0.000,0.000,0.000,{built-in method _thread.daemon_threads_allowed}
1,0.000,0.000,0.000,0.000,context.py:303(ForkContext)
1,0.000,0.000,0.000,0.000,context.py:14(ProcessError)
1,0.000,0.000,0.000,0.000,shutil.py:77(ExecError)
1,0.000,0.000,0.000,0.000,pickle.py:77(PicklingError)
1,0.000,0.000,0.000,0.000,pickle.py:84(UnpicklingError)
1,0.000,0.000,0.000,0.000,shutil.py:80(ReadError)
1,0.000,0.000,0.000,0.000,shutil.py:83(RegistryError)
1,0.000,0.000,0.000,0.000,context.py:17(BufferTooShort)
1,0.000,0.000,0.000,0.000,context.py:20(TimeoutError)
1,0.000,0.000,0.000,0.000,context.py:23(AuthenticationError)
1,0.000,0.000,0.000,0.000,std.py:1301(<lambda>)
